PROCNUM,ADJFACTOR,AGE2,RACE4,INCOME5,IRINSUR4,IRSEX,MALE,YOTMTHLP,WHITE,HISPB,NONE,SMHVST,YOUNG,VEREP,VESTR,adj_wt,rho1,id,one,r,s1,W1,Z_HAT,f_wt4
19,1.2776,1,4,1,1,2,0,3,0,1,1,0,1,02,30003,1692.6426297,0.880797078,88,1,0.4559394612,1,469.79786678,1.7753339179,2162.4404964
19,1.3315,4,1,4,1,1,1,2,1,0,0,3,0,01,30029,1263.6137826,0.7502601056,89,1,0.6142289092,1,418.83535062,2.1499591112,1682.4491332
19,1.3124,5,1,3,1,2,0,5,1,0,0,2,0,02,30020,676.07696077,0.8021838886,90,1,0.3833902224,1,211.21789438,3.0848320087,887.29485515
19,0.0000,5,1,4,1,2,0,3,1,0,0,,0,01,30012,1937.9335833,0.6899744811,91,1,0.9324681703,0,-1937.933583,2.7224619973,0
19,1.2776,3,1,2,1,1,1,1,1,0,1,0,0,02,30049,2747.2860732,0.880797078,92,1,0.7554084252,1,762.51721067,1.9687741055,3509.8032839
19,1.2776,3,1,4,1,1,1,4,1,0,1,0,0,01,30003,1325.6432339,0.880797078,93,1,0.1457706872,1,367.93612099,2.5123291226,1693.5793549
19,0.0000,6,2,1,1,1,1,4,0,1,0,,0,01,30018,980.7822366,0.6899744811,94,1,0.7458512614,0,-980.7822366,1.888390911,0
19,1.3315,5,1,4,1,2,0,1,1,0,0,3,0,02,30012,3277.7887735,0.7502601056,95,1,0.5522402006,1,1086.4504876,2.360091986,4364.2392611
19,1.2776,2,3,4,1,2,0,3,0,0,1,0,1,01,30008,2604.5289457,0.880797078,96,1,0.548869001,1,722.89455623,1.7753339179,3327.4235019
19,1.2776,3,1,2,2,2,0,1,1,0,1,0,0,02,30033,351.34025741,0.880797078,97,1,0.2682353921,1,97.515506552,2.360091986,448.85576396
19,0.0000,4,1,2,1,2,0,4,1,0,1,,0,01,30032,680.76925109,0.880797078,98,1,0.8827624507,0,-680.7692511,2.903647003,0
19,1.3731,3,1,4,1,2,0,5,1,0,0,5,0,02,30049,2606.7950499,0.6224593312,99,1,0.4356952223,1,972.57851154,3.0848320087,3579.3735615
19,1.2776,6,1,2,1,2,0,3,1,0,1,0,0,01,30002,821.7008432,0.880797078,101,1,0.0402220469,1,228.06545014,2.7224619973,1049.7662933
19,1.2776,6,4,1,1,2,0,2,0,1,1,0,0,01,30009,1561.5325501,0.880797078,102,1,0.7039146059,1,433.40788427,1.9173387801,1994.9404344
19,1.3315,4,1,2,1,2,0,1,1,0,0,3,0,01,30038,3064.9789758,0.7502601056,103,1,0.2797591543,1,1015.9129013,2.360091986,4080.8918771
19,1.3517,3,4,3,1,2,0,4,0,1,0,4,0,02,30019,1410.158653,0.6899744811,104,1,0.4297431742,1,495.89685691,2.2797087914,1906.0555099
19,1.3517,5,4,2,2,2,0,4,0,1,0,4,0,01,30024,358.08512208,0.6899744811,105,1,0.1599864616,1,125.92433211,2.2797087914,484.00945419
19,1.2945,5,4,4,1,1,1,1,0,1,0,1,0,02,30059,6376.995886,0.8455347349,106,1,0.5270270265,1,1877.8301427,1.344835894,8254.8260287
19,1.3517,4,1,2,1,2,0,3,1,0,0,4,0,02,30053,5067.4636969,0.6899744811,107,1,0.586323743,1,1782.0259546,2.7224619973,6849.4896516
19,1.2776,4,2,2,1,1,1,4,0,1,1,0,0,01,30002,884.57781605,0.880797078,108,1,0.1400404252,1,245.51713616,1.888390911,1130.0949522
19,1.3731,5,1,1,1,2,0,3,1,0,0,5,0,02,30035,538.9644493,0.6224593312,109,1,0.2082956732,1,201.08417878,2.7224619973,740.04862808
19,1.3315,3,1,3,1,2,0,2,1,0,0,3,0,02,30024,616.92012728,0.7502601056,110,1,0.1690203651,1,204.48333294,2.5412769917,821.40346023
19,0.0000,1,1,4,1,2,0,5,1,0,0,,1,02,30011,472.71545431,0.6224593312,112,1,0.9755864371,0,-472.7154543,2.7616421409,0
19,0.0000,2,4,2,1,2,0,3,0,1,0,,1,01,30017,1087.1600304,0.6899744811,113,1,0.8841498563,0,-1087.16003,1.7753339179,0
19,1.3124,3,1,2,1,2,0,3,1,0,0,2,0,02,30009,679.61119521,0.8021838886,114,1,0.6500627746,1,212.32204908,2.7224619973,891.93324429
19,1.2776,3,4,2,1,2,0,3,0,1,1,0,0,02,30019,3540.4501351,0.880797078,115,1,0.4323831608,1,982.66219448,2.0985237858,4523.1123296
19,1.3315,5,2,1,1,2,0,1,0,1,0,3,0,02,30054,2313.6802967,0.7502601056,117,1,0.6360307018,1,766.8886741,1.7361537744,3080.5689708
19,1.3315,2,1,2,2,2,0,2,1,0,0,3,1,01,30024,3178.3593579,0.7502601056,118,1,0.6451519246,1,1053.4937767,2.2180871239,4231.8531346
19,1.2776,6,4,1,1,2,0,4,0,1,1,0,0,01,30015,13.911048453,0.880797078,119,1,0.7199166611,1,3.8610518095,2.2797087914,17.772100263
19,1.2776,3,1,4,1,2,0,1,1,0,1,0,0,01,30032,1182.0953487,0.880797078,120,1,0.1434355244,1,328.0939895,2.360091986,1510.1893382
19,1.3517,6,3,4,1,2,0,1,0,0,0,4,0,01,30016,106.73476725,0.6899744811,121,1,0.5078628303,1,37.534383447,1.7361537744,144.2691507
19,1.3315,4,1,2,1,2,0,3,1,0,0,3,0,01,30016,169.6477409,0.7502601056,122,1,0.3877353842,1,56.231161785,2.7224619973,225.87890269
19,1.3315,3,1,2,1,1,1,3,1,0,0,3,0,02,30042,947.3766751,0.7502601056,123,1,0.0053393953,1,314.01591796,2.3311441169,1261.3925931
19,1.3124,6,1,3,1,2,0,1,1,0,0,2,0,01,30050,1763.9989495,0.8021838886,124,1,0.6556983356,1,551.10315158,2.360091986,2315.1021011
19,1.3731,4,3,3,1,2,0,3,0,0,0,5,0,02,30005,177.27993534,0.6224593312,126,1,0.3170766036,1,66.142006692,2.0985237858,243.42194203
19,1.3315,5,1,4,1,2,0,4,1,0,0,3,0,01,30014,3848.5791372,0.7502601056,127,1,0.0472372859,1,1275.6437248,2.903647003,5124.222862
19,1.3731,4,1,2,1,2,0,5,1,0,0,5,0,01,30021,535.77530478,0.6224593312,128,1,0.3491294036,1,199.89432942,3.0848320087,735.6696342
19,1.3315,5,1,2,1,2,0,2,1,0,0,3,0,01,30020,1709.2943103,0.7502601056,129,1,0.4608906221,1,566.55988692,2.5412769917,2275.8541972
19,0.0000,1,1,2,1,2,0,1,1,0,0,,1,01,30017,1269.7445372,0.6899744811,130,1,0.9814771963,0,-1269.744537,2.0369021182,0
19,1.2776,2,1,2,1,2,0,4,1,0,1,0,1,01,30046,1978.6745605,0.880797078,131,1,0.5458331697,1,549.18685803,2.5804571352,2527.8614185
19,1.2776,2,3,3,1,1,1,3,0,0,1,0,1,02,30040,1488.4829683,0.880797078,132,1,0.6604625013,1,413.13276115,1.3840160375,1901.6157294
19,1.2776,6,1,1,1,1,1,5,1,0,1,0,0,02,30055,708.65977822,0.880797078,133,1,0.4501240102,1,196.69057499,2.6935141283,905.35035321
19,1.2776,4,1,2,1,2,0,4,1,0,1,0,0,02,30048,1079.4456432,0.880797078,134,1,0.6542249311,1,299.60326627,2.903647003,1379.0489094
19,1.3731,2,3,2,1,2,0,1,0,0,0,5,1,01,30041,877.51555543,0.6224593312,135,1,0.0303517408,1,327.39542481,1.4129639066,1204.9109802
19,0.0000,3,1,3,1,2,0,3,1,0,0,,0,02,30055,743.25411252,0.6899744811,136,1,0.7009810087,0,-743.2541125,2.7224619973,0
19,1.3517,3,4,4,1,2,0,2,0,1,0,4,0,02,30015,1.5707356066,0.6899744811,137,1,0.4643404207,1,0.5523654014,1.9173387801,2.123101008
19,1.2776,2,2,1,1,2,0,2,0,1,1,0,1,01,30045,619.66578544,0.880797078,139,1,0.0942710732,1,171.99003441,1.5941489123,791.65581985
19,1.3315,6,1,4,2,1,1,1,1,0,0,3,0,01,30029,2469.5523172,0.7502601056,140,1,0.2056208626,1,818.55375819,1.9687741055,3288.1060754
19,1.3517,5,1,4,2,2,0,1,1,0,0,4,0,01,30057,2388.3496149,0.6899744811,142,1,0.4521545509,1,839.88781312,2.360091986,3228.237428
19,1.2776,6,1,2,1,1,1,5,1,0,1,0,0,02,30056,1069.7920699,0.880797078,143,1,0.7429502861,1,296.92388902,2.6935141283,1366.7159589
19,1.3731,4,1,2,1,2,0,4,1,0,0,5,0,02,30015,170.80849266,0.6224593312,144,1,0.2896503523,1,63.727552942,2.903647003,234.53604561
19,0.0000,6,3,4,1,2,0,2,0,0,0,,0,02,30005,667.47140097,0.6899744811,145,1,0.7783718387,0,-667.471401,1.9173387801,0
19,1.2945,6,1,2,1,2,0,3,1,0,0,1,0,02,30060,766.51585456,0.8455347349,146,1,0.0056328825,1,225.71546262,2.7224619973,992.23131718
19,0.0000,6,1,2,1,2,0,3,1,0,0,,0,01,30033,468.7960645,0.6224593312,147,1,0.9799918262,0,-468.7960645,2.7224619973,0
19,1.3517,6,1,3,1,2,0,2,1,0,0,4,0,02,30035,189.46821378,0.6899744811,148,1,0.4609141589,1,66.628454534,2.5412769917,256.09666831
19,0.0000,2,1,4,1,2,0,1,1,0,0,,1,02,30028,722.83633508,0.6224593312,149,1,0.9145688531,0,-722.8363351,2.0369021182,0
19,1.2945,4,3,3,1,2,0,1,0,0,0,1,0,01,30040,596.11408552,0.8455347349,150,1,0.6799657553,1,175.53735619,1.7361537744,771.65144171
19,0.0000,6,1,2,1,1,1,2,1,0,0,,0,01,30051,132.66398935,0.6224593312,151,1,0.7800137875,0,-132.6639894,2.1499591112,0
19,1.2776,4,2,1,1,2,0,5,0,1,1,0,0,01,30010,3013.7039713,0.880797078,152,1,0.7546545657,1,836.46227032,2.4608937971,3850.1662417
19,1.3315,4,1,2,1,2,0,1,1,0,0,3,0,02,30056,1426.2354293,0.7502601056,153,1,0.0565231615,1,472.73765477,2.360091986,1898.9730841
19,1.3124,5,1,1,2,2,0,3,1,0,0,2,0,02,30046,1938.3935609,0.8021838886,154,1,0.1539949575,1,605.58698221,2.7224619973,2543.9805432
19,1.3315,6,1,2,1,2,0,4,1,0,0,3,0,01,30023,195.14047107,0.7502601056,155,1,0.583287847,1,64.680940289,2.903647003,259.82141136
19,0.0000,6,1,4,1,2,0,2,1,0,0,,0,01,30028,5233.8290262,0.6899744811,156,1,0.8224703292,0,-5233.829026,2.5412769917,0
19,0.0000,4,4,1,2,2,0,5,0,1,0,,0,01,30025,3108.9096721,0.6224593312,157,1,0.9333257572,0,-3108.909672,2.4608937971,0
19,1.2776,5,1,4,1,2,0,3,1,0,1,0,0,01,30055,1167.593933,0.880797078,158,1,0.8119715274,1,324.06907955,2.7224619973,1491.6630126
19,0.0000,5,4,2,2,2,0,2,0,1,0,,0,01,30014,3384.5817164,0.8455347349,159,1,0.9093044237,0,-3384.581716,1.9173387801,0
19,0.0000,5,1,2,1,2,0,3,1,0,0,,0,01,30025,1623.1538095,0.6899744811,160,1,0.7784579358,0,-1623.153809,2.7224619973,0
19,1.2776,1,4,2,1,1,1,2,0,1,1,0,1,01,30051,5875.1320237,0.880797078,163,1,0.1050924254,1,1630.659918,1.2028310318,7505.7919417
19,1.2776,5,2,1,1,1,1,2,0,1,1,0,0,02,30020,1856.3055951,0.880797078,164,1,0.622805992,1,515.2229971,1.5260208996,2371.5285922
19,0.0000,2,1,2,1,2,0,1,1,0,0,,1,01,30049,950.25205595,0.6224593312,165,1,0.7765156309,0,-950.2520559,2.0369021182,0
19,0.0000,5,1,3,1,2,0,5,1,0,0,,0,01,30033,1160.3372979,0.6224593312,166,1,0.6489098061,0,-1160.337298,3.0848320087,0
19,1.3315,1,1,2,1,1,1,2,1,0,0,3,1,01,30019,1499.8382638,0.7502601056,167,1,0.6237925317,1,497.1339295,1.8267692434,1996.9721933
19,1.2776,6,2,3,1,2,0,3,0,1,1,0,0,02,30022,1369.2620906,0.880797078,168,1,0.4077641412,1,380.04266106,2.0985237858,1749.3047516
19,1.3731,6,1,2,1,2,0,3,1,0,0,5,0,01,30031,619.03337925,0.6224593312,169,1,0.2599365116,1,230.95738294,2.7224619973,849.99076219
19,1.2776,4,1,2,1,2,0,4,1,0,1,0,0,01,30054,912.97129557,0.880797078,170,1,0.602538693,1,253.39782868,2.903647003,1166.3691243
19,0.0000,6,1,4,1,2,0,4,1,0,0,,0,02,30033,765.63058233,0.6224593312,171,1,0.6710886097,0,-765.6305823,2.903647003,0
19,1.2776,4,2,4,1,1,1,4,0,1,1,0,0,02,30010,1715.3526228,0.880797078,172,1,0.2061464308,1,476.10109118,1.888390911,2191.453714
19,1.3315,4,1,2,1,1,1,5,1,0,0,3,0,01,30058,1159.2014434,0.7502601056,173,1,0.2716216651,1,384.22700803,2.6935141283,1543.4284514
19,1.2776,2,4,2,1,2,0,3,0,1,1,0,1,01,30006,398.01655005,0.880797078,174,1,0.4017812002,1,110.47064683,1.7753339179,508.48719688
19,1.3315,2,3,3,1,2,0,1,0,0,0,3,1,01,30023,160.80006963,0.7502601056,176,1,0.5928937903,1,53.298527186,1.4129639066,214.09859682
19,0.0000,5,1,3,1,2,0,4,1,0,0,,0,01,30011,299.26685025,0.6899744811,177,1,0.8000773875,0,-299.2668503,2.903647003,0
19,0.0000,2,1,4,1,1,1,4,1,0,0,,1,01,30027,350.43735203,0.7502601056,178,1,0.8335386188,0,-350.437352,2.1891392548,0
19,0.0000,5,1,4,1,2,0,5,1,0,0,,0,01,30050,1123.0106622,0.6224593312,179,1,0.8915121136,0,-1123.010662,3.0848320087,0
19,1.3315,6,1,3,1,1,1,2,1,0,0,3,0,02,30033,524.74883933,0.7502601056,180,1,0.3617100992,1,173.9323891,2.1499591112,698.68122844
19,1.3517,6,1,4,1,1,1,4,1,0,0,4,0,02,30042,450.78114262,0.6899744811,182,1,0.245837289,1,158.52184526,2.5123291226,609.30298788
19,1.3517,5,1,4,1,2,0,2,1,0,0,4,0,01,30051,1584.1890458,0.6899744811,183,1,0.6578514044,1,557.09644224,2.5412769917,2141.2854881
19,1.2776,5,1,2,1,2,0,1,1,0,1,0,0,01,30044,482.75596703,0.880797078,184,1,0.0519115315,1,133.99031757,2.360091986,616.7462846
19,0.0000,3,1,2,1,2,0,4,1,0,0,,0,02,30056,1730.7542312,0.6224593312,185,1,0.8400190281,0,-1730.754231,2.903647003,0
