PROCNUM,ADJFACTOR,AGE2,RACE4,INCOME5,IRINSUR4,IRSEX,MALE,YOTMTHLP,WHITE,HISPB,NONE,SMHVST,YOUNG,VEREP,VESTR,adj_wt,p,r
17,1.0955,4,1,4,1,2,0,2,1,0,0,4,0,02,30051,293.04290445,0.6899744811,1
17,1.0707,5,1,4,1,1,1,2,1,0,0,5,0,01,30029,1457.8718683,0.6224593312,1
17,1.0300,6,1,4,1,2,0,1,1,0,1,0,0,01,30055,1821.5548435,0.880797078,1
17,1.0962,3,1,4,1,2,0,3,1,0,0,1,0,01,30018,290.50564759,0.8455347349,1
17,1.0921,4,1,3,1,2,0,4,1,0,1,0,0,02,30010,1081.7217147,0.880797078,1
17,1.0981,5,1,3,1,1,1,3,1,0,0,4,0,02,30020,1219.9386487,0.6899744811,1
17,1.0852,4,4,2,1,2,0,2,0,1,0,4,0,02,30018,386.40857761,0.6899744811,1
17,1.1557,2,1,4,1,2,0,1,1,0,0,3,1,01,30050,1301.0373197,0.7502601056,0
17,1.0593,3,4,2,1,2,0,2,0,1,1,0,0,01,30016,265.78234831,0.880797078,1
17,1.0777,1,1,4,1,1,1,1,1,0,1,0,1,01,30006,2974.8289961,0.880797078,1
17,1.0669,3,1,4,1,2,0,4,1,0,0,5,0,02,30057,2369.4191326,0.6224593312,1
17,1.0852,4,1,2,1,2,0,2,1,0,1,0,0,01,30056,2002.6235852,0.880797078,1
17,1.0206,6,3,4,1,2,0,5,0,0,1,0,0,02,30058,650.59282247,0.880797078,0
17,1.0413,4,1,1,1,2,0,4,1,0,0,5,0,02,30037,852.96879522,0.6224593312,1
17,1.1230,4,4,2,1,2,0,3,0,1,0,4,0,01,30018,2037.6053219,0.6899744811,1
17,1.1494,5,1,4,1,2,0,3,1,0,0,4,0,01,30038,2041.4167081,0.6899744811,1
17,1.1332,5,1,2,1,2,0,3,1,0,0,5,0,01,30056,1269.2641271,0.6224593312,0
17,1.0855,4,4,2,1,2,0,4,0,1,0,5,0,02,30004,5118.5532779,0.6224593312,0
17,1.0414,6,1,2,1,2,0,2,1,0,0,3,0,01,30036,2923.6896853,0.7502601056,1
17,1.0447,5,3,1,1,2,0,4,0,0,1,0,0,02,30043,92.88280511,0.880797078,1
17,1.1325,4,1,3,1,2,0,3,1,0,0,4,0,02,30027,1995.8306449,0.6899744811,1
17,1.0857,3,2,2,1,2,0,3,0,1,0,5,0,02,30019,513.26984471,0.6224593312,0
17,1.0906,4,1,3,1,1,1,3,1,0,1,0,0,01,30022,1016.7046387,0.880797078,1
17,1.0145,6,4,2,2,1,1,4,0,1,0,4,0,02,30026,2695.1288162,0.6899744811,1
17,1.0415,6,1,2,1,2,0,4,1,0,0,3,0,01,30003,1786.4770293,0.7502601056,1
17,1.0997,5,4,3,1,2,0,4,0,1,0,5,0,01,30053,561.27012551,0.6224593312,1
17,1.1230,4,4,2,1,2,0,3,0,1,0,3,0,01,30033,167.86149182,0.7502601056,0
17,1.0732,2,1,4,1,1,1,5,1,0,0,5,1,01,30014,1714.839711,0.6224593312,0
17,1.1039,5,1,4,1,2,0,4,1,0,0,3,0,01,30041,62.957872772,0.7502601056,1
17,1.1435,5,1,3,1,2,0,3,1,0,0,4,0,01,30036,948.71803677,0.6899744811,1
17,1.0415,6,4,2,1,2,0,4,0,1,1,0,0,02,30040,1574.6853148,0.880797078,0
17,1.1039,5,1,4,1,2,0,4,1,0,0,5,0,02,30045,290.80143101,0.6224593312,1
17,1.3341,2,1,3,1,2,0,3,1,0,0,4,1,02,30015,1372.0221217,0.6899744811,1
17,1.0289,6,4,1,1,2,0,3,0,1,0,3,0,02,30040,1073.3704719,0.7502601056,1
17,1.1034,5,1,4,1,2,0,2,1,0,0,1,0,01,30030,3734.351171,0.8455347349,1
17,1.1498,2,1,1,1,2,0,3,1,0,0,2,1,02,30022,1246.8016966,0.8021838886,0
17,1.0593,3,1,2,1,2,0,2,1,0,0,1,0,02,30060,937.17523522,0.8455347349,0
17,1.1034,5,1,4,1,2,0,2,1,0,0,5,0,02,30031,1060.471766,0.6224593312,0
17,1.1034,5,1,4,1,2,0,2,1,0,1,0,0,01,30024,623.43509863,0.880797078,1
17,1.0617,4,1,4,1,2,0,1,1,0,1,0,0,02,30010,2189.6367901,0.880797078,1
17,1.0758,1,4,1,1,2,0,2,0,1,0,3,1,01,30014,336.96721035,0.7502601056,1
17,1.0300,6,4,4,1,2,0,1,0,1,1,0,0,01,30037,2840.8803929,0.880797078,1
17,1.0466,6,1,4,1,2,0,4,1,0,0,3,0,02,30038,2741.2005166,0.7502601056,0
17,1.0376,4,1,2,1,1,1,1,1,0,0,3,0,01,30020,992.9276355,0.7502601056,1
17,1.0185,3,1,1,1,2,0,1,1,0,0,2,0,02,30042,880.66485907,0.8021838886,1
17,1.0852,4,1,2,1,2,0,2,1,0,0,4,0,02,30017,2140.2595059,0.6899744811,0
17,1.0732,2,4,4,1,1,1,5,0,1,0,4,1,01,30032,1948.9103712,0.6899744811,0
17,1.0267,6,3,2,1,2,0,1,0,0,1,0,0,02,30023,44.463851769,0.880797078,1
17,1.0959,4,1,4,1,2,0,4,1,0,1,0,0,01,30020,1536.644501,0.880797078,1
17,1.0440,5,4,1,1,1,1,3,0,1,1,0,0,01,30012,1090.5273738,0.880797078,1
17,1.0943,4,1,4,1,1,1,3,1,0,0,4,0,02,30055,296.22818236,0.6899744811,0
17,1.0852,4,2,2,1,2,0,2,0,1,1,0,0,02,30012,216.08158192,0.880797078,0
17,1.0411,4,4,1,1,2,0,2,0,1,0,3,0,01,30055,9.7743688755,0.7502601056,0
17,1.0447,6,1,3,1,2,0,4,1,0,0,5,0,02,30049,2183.8299412,0.6224593312,1
17,1.0921,4,1,3,1,2,0,4,1,0,0,2,0,02,30049,510.72693988,0.8021838886,1
17,1.0669,5,1,4,1,2,0,1,1,0,0,2,0,01,30026,1772.6213467,0.8021838886,1
17,1.1380,4,1,4,1,2,0,3,1,0,0,4,0,02,30028,1949.2250918,0.6899744811,1
17,1.0455,3,2,4,1,1,1,2,0,1,0,5,0,01,30029,1385.6016918,0.6224593312,1
17,1.0550,4,1,2,1,2,0,1,1,0,0,4,0,02,30046,451.81738724,0.6899744811,0
17,1.0917,4,1,3,1,2,0,2,1,0,1,0,0,01,30047,1064.9803278,0.880797078,1
17,1.0596,3,3,2,1,2,0,4,0,0,0,5,0,02,30014,261.61136198,0.6224593312,1
17,1.0447,6,1,3,1,2,0,4,1,0,0,5,0,02,30009,422.20505327,0.6224593312,1
17,1.1039,5,1,4,1,2,0,4,1,0,0,5,0,02,30005,1393.633144,0.6224593312,1
17,1.0184,6,4,2,1,2,0,5,0,1,0,4,0,02,30038,2220.9610437,0.6899744811,1
17,1.0198,6,1,3,1,2,0,5,1,0,0,5,0,02,30042,948.6261793,0.6224593312,1
17,1.0445,5,3,1,1,2,0,2,0,0,1,0,0,01,30028,22328.811678,0.880797078,1
17,1.0993,5,4,3,1,2,0,2,0,1,0,4,0,02,30051,3.6607857007,0.6899744811,1
17,1.0296,3,1,4,1,2,0,5,1,0,0,4,0,01,30009,1275.6277886,0.6899744811,1
